a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
0.774, -1.465, -2.438, 1.93, 3.151, 1.544, 1.548, -2.029, -7.302, 0.142, -4.506, -1.0, -6.331
0.778, -1.438, -2.415, 1.904, 3.07, 1.511, 1.495, -1.992, -7.219, 0.147, -4.504, -1.0, -6.235
0.782, -1.412, -2.393, 1.879, 2.989, 1.477, 1.443, -1.955, -7.137, 0.153, -4.503, -1.0, -6.14
0.786, -1.385, -2.37, 1.853, 2.908, 1.444, 1.39, -1.918, -7.054, 0.158, -4.501, -1.0, -6.045
0.79, -1.354, -2.32, 1.829, 2.829, 1.419, 1.381, -1.882, -6.927, 0.16, -4.453, -1.0, -5.938
0.794, -1.32, -2.257, 1.807, 2.75, 1.398, 1.393, -1.848, -6.777, 0.16, -4.38, -1.0, -5.825
0.798, -1.286, -2.193, 1.784, 2.67, 1.378, 1.407, -1.813, -6.626, 0.16, -4.308, -1.0, -5.711
0.802, -1.251, -2.127, 1.762, 2.592, 1.358, 1.424, -1.779, -6.472, 0.16, -4.231, -1.0, -5.597
0.806, -1.217, -2.062, 1.74, 2.513, 1.337, 1.44, -1.745, -6.318, 0.16, -4.155, -1.0, -5.483
0.81, -1.183, -1.996, 1.718, 2.434, 1.317, 1.457, -1.711, -6.164, 0.16, -4.079, -1.0, -5.369
0.814, -1.148, -1.93, 1.695, 2.355, 1.297, 1.473, -1.676, -6.01, 0.16, -4.003, -1.0, -5.255
0.818, -1.114, -1.865, 1.673, 2.276, 1.277, 1.49, -1.642, -5.856, 0.16, -3.927, -1.0, -5.14
0.822, -1.08, -1.799, 1.651, 2.197, 1.257, 1.506, -1.608, -5.702, 0.16, -3.851, -1.0, -5.026
0.826, -1.045, -1.734, 1.629, 2.118, 1.237, 1.523, -1.574, -5.548, 0.16, -3.775, -1.0, -4.912
0.83, -1.011, -1.668, 1.606, 2.039, 1.217, 1.539, -1.539, -5.394, 0.16, -3.698, -1.0, -4.798
0.834, -0.977, -1.602, 1.584, 1.96, 1.197, 1.556, -1.505, -5.239, 0.16, -3.622, -1.0, -4.683
0.838, -0.942, -1.537, 1.562, 1.881, 1.176, 1.573, -1.471, -5.085, 0.16, -3.546, -1.0, -4.569
0.842, -0.908, -1.471, 1.54, 1.802, 1.156, 1.589, -1.436, -4.931, 0.16, -3.47, -1.0, -4.455
0.846, -0.874, -1.405, 1.518, 1.723, 1.136, 1.606, -1.402, -4.777, 0.16, -3.394, -1.0, -4.341
0.85, -0.839, -1.34, 1.495, 1.644, 1.116, 1.622, -1.368, -4.623, 0.16, -3.318, -1.0, -4.226
0.854, -0.805, -1.274, 1.473, 1.565, 1.096, 1.639, -1.334, -4.469, 0.16, -3.241, -1.0, -4.112
0.858, -0.771, -1.208, 1.451, 1.486, 1.076, 1.655, -1.299, -4.315, 0.16, -3.165, -1.0, -3.998
0.862, -0.736, -1.143, 1.429, 1.407, 1.056, 1.672, -1.265, -4.161, 0.16, -3.089, -1.0, -3.884
0.866, -0.702, -1.077, 1.406, 1.328, 1.036, 1.688, -1.231, -4.007, 0.16, -3.013, -1.0, -3.77
0.87, -0.668, -1.011, 1.384, 1.249, 1.015, 1.705, -1.197, -3.853, 0.16, -2.937, -1.0, -3.655
0.874, -0.633, -0.946, 1.362, 1.17, 0.995, 1.722, -1.162, -3.699, 0.16, -2.861, -1.0, -3.541
0.878, -0.599, -0.88, 1.34, 1.091, 0.975, 1.738, -1.128, -3.545, 0.16, -2.785, -1.0, -3.427
0.882, -0.565, -0.814, 1.317, 1.012, 0.955, 1.755, -1.094, -3.391, 0.16, -2.708, -1.0, -3.313
0.886, -0.53, -0.749, 1.295, 0.933, 0.935, 1.771, -1.06, -3.237, 0.16, -2.632, -1.0, -3.198
0.89, -0.502, -0.697, 1.273, 0.86, 0.917, 1.77, -1.03, -3.097, 0.16, -2.572, -0.992, -3.079
0.894, -0.479, -0.654, 1.252, 0.789, 0.901, 1.755, -1.005, -2.967, 0.16, -2.523, -0.979, -2.956
0.898, -0.457, -0.614, 1.225, 0.72, 0.886, 1.738, -0.98, -2.839, 0.16, -2.476, -0.964, -2.832
0.902, -0.446, -0.597, 1.137, 0.66, 0.874, 1.689, -0.965, -2.736, 0.16, -2.457, -0.935, -2.698
0.906, -0.435, -0.58, 1.049, 0.6, 0.863, 1.64, -0.949, -2.633, 0.16, -2.438, -0.907, -2.565
0.91, -0.424, -0.563, 0.969, 0.539, 0.851, 1.59, -0.934, -2.53, 0.16, -2.419, -0.878, -2.432
0.914, -0.413, -0.547, 0.897, 0.479, 0.84, 1.541, -0.918, -2.426, 0.16, -2.4, -0.85, -2.299
0.918, -0.403, -0.53, 0.825, 0.406, 0.828, 1.492, -0.903, -2.299, 0.16, -2.381, -0.821, -2.165
0.922, -0.392, -0.513, 0.765, 0.129, 0.817, 1.443, -0.887, -1.797, 0.16, -2.362, -0.793, -2.032
0.926, -0.381, -0.496, 0.704, -0.147, 0.806, 1.394, -0.872, -1.295, 0.16, -2.343, -0.764, -1.899
0.93, -0.37, -0.48, 0.622, -0.304, 0.794, 1.345, -0.856, -0.788, 0.16, -2.324, -0.735, -1.766
0.934, -0.359, -0.463, 0.522, -0.363, 0.783, 1.296, -0.841, -0.276, 0.16, -2.305, -0.707, -1.632
0.938, -0.348, -0.446, 0.425, -0.416, 0.771, 1.246, -0.818, 0.211, 0.16, -2.286, -0.678, -1.499
0.942, -0.338, -0.43, 0.404, -0.341, 0.76, 1.197, -0.643, 0.188, 0.16, -2.267, -0.65, -1.366
0.946, -0.327, -0.413, 0.384, -0.266, 0.748, 1.148, -0.468, 0.165, 0.16, -2.247, -0.621, -1.232
0.95, -0.316, -0.396, 0.363, -0.221, 0.737, 1.099, -0.379, 0.1, 0.16, -2.228, -0.593, -1.099
0.954, -0.305, -0.379, 0.343, -0.201, 0.726, 1.05, -0.363, 0.001, 0.16, -2.209, -0.564, -0.966
0.958, -0.294, -0.363, 0.324, -0.184, 0.714, 1.001, -0.351, -0.094, 0.16, -2.19, -0.536, -0.833
0.962, -0.283, -0.346, 0.384, -0.245, 0.703, 0.952, -0.455, -0.071, 0.16, -2.171, -0.507, -0.699
0.966, -0.272, -0.329, 0.443, -0.305, 0.691, 0.902, -0.559, -0.048, 0.16, -2.152, -0.478, -0.566
0.97, -0.262, -0.312, 0.481, -0.365, 0.68, 0.853, -0.622, -0.087, 0.16, -2.133, -0.45, -0.433
0.974, -0.251, -0.296, 0.5, -0.426, 0.669, 0.804, -0.646, -0.183, 0.16, -2.114, -0.421, -0.3
0.978, -0.24, -0.279, 0.52, -0.483, 0.657, 0.755, -0.67, -0.279, 0.16, -2.095, -0.393, -0.166
0.982, -0.229, -0.262, 0.539, -0.344, 0.646, 0.706, -0.654, -0.376, 0.16, -2.076, -0.364, -0.033
0.986, -0.218, -0.245, 0.558, -0.205, 0.634, 0.657, -0.639, -0.472, 0.16, -2.057, -0.336, 0.1
0.99, -0.207, -0.229, 0.598, -0.268, 0.623, 0.608, -0.623, -0.467, 0.16, -2.038, -0.307, 0.233
0.994, -0.197, -0.212, 0.657, -0.528, 0.611, 0.558, -0.608, -0.364, 0.16, -2.019, -0.279, 0.367
0.998, -0.186, -0.195, 0.716, -0.787, 0.6, 0.509, -0.592, -0.261, 0.16, -2.0, -0.25, 0.5
